,Year,State,Length,Value,Type_1,Type_2,Expense_1,Expense_2
863,2015.0,Delaware,4-year,11184.0,Private,,Room,Board
864,2015.0,Delaware,2-year,3530.0,Public,In-State,Fees,Tuition
865,2015.0,Delaware,4-year,9999999.0,Public,In-State,Fees,Tuition
866,2015.0,Delaware,4-year,11668.0,Public,In-State,Room,Board
867,2015.0,Delaware,2-year,8282.0,Public,Out-of-State,Fees,Tuition
868,,,,,,,,
869,2015.0,Delaware,4-year,11668.0,Public,Out-of-State,Room,Board
870,,,,,,,,
871,2015.0,District of Columbia,4-year,13907.0,Private,,Room,Board
872,2015.0,District of Columbia,4-year,5251.0,Public,In-State,Fees,Tuition
873,2015.0,District of Columbia,4-year,11233.0,Public,Out-of-State,Fees,Tuition
874,2015.0,Florida,4-year,21578.0,Private,,Fees,Tuition
875,2015.0,Florida,4-year,10840.0,Private,,,Board
876,2015.0,Florida,2-year,2383.0,Public,In-State,Fees,Tuition
877,2015.0,Florida,4-year,4456.0,Public,In-State,Fees,Tuition
878,2015.0,Florida,4-year,10221.0,Public,In-State,Room,Board
879,2015.0,Florida,2-year,8862.0,Public,Out-of-State,Fees,Tuition
880,2015.0,Florida,4-year,17771.0,Public,Out-of-State,Fees,Tuition
881,2015.0,Florida,4-year,10221.0,Public,Out-of-State,Room,Board
882,2015.0,Georgia,4-year,24493.0,Private,,Fees,Tuition
883,2015.0,Georgia,4-year,11614.0,Private,,Room,Board
884,2015.0,Georgia,2-year,3177.0,Public,In-State,Fees,Tuition
885,,,,,,,,
886,2015.0,Georgia,4-year,9770.0,Public,In-State,Room,Board
887,,,,,,,,
888,2015.0,Georgia,4-year,9999999.0,Public,Out-of-State,Fees,Tuition
889,,,,,,,,
890,2015.0,Hawaii,4-year,15233.0,Private,,,Tuition
891,2015.0,Hawaii,4-year,12251.0,Private,,Room,Board
892,2015.0,Hawaii,2-year,2800.0,Public,In-State,,Tuition
893,2015.0,Hawaii,4-year,8831.0,Public,In-State,Fees,Tuition
894,2015.0,Hawaii,4-year,10300.0,Public,In-State,Room,Board
895,2015.0,Hawaii,2-year,7646.0,Public,Out-of-State,Fees,Tuition
896,2015.0,Hawaii,4-year,26150.0,Public,Out-of-State,Fees,Tuition
897,,,,,,,,
898,2015.0,Idaho,4-year,6456.0,Private,,Fees,Tuition
899,2015.0,Idaho,4-year,6552.0,Private,,Room,Board
900,2015.0,Idaho,2-year,3023.0,Public,In-State,Fees,Tuition
901,2015.0,Idaho,4-year,6834.0,Public,In-State,Fees,Tuition
902,2015.0,Idaho,4-year,6810.0,Public,In-State,Room,Board
903,2015.0,Idaho,2-year,7336.0,Public,Out-of-State,Fees,Tuition
904,2015.0,Idaho,4-year,19633.0,Public,Out-of-State,Fees,Tuition
905,2015.0,Idaho,4-year,6810.0,Public,Out-of-State,Room,Board
906,2015.0,Illinois,4-year,28481.0,Private,,Fees,Tuition
907,2015.0,Illinois,4-year,11297.0,Private,,Room,Board
908,2015.0,Illinois,2-year,3499.0,Public,In-State,Fees,Tuition
909,2015.0,Illinois,4-year,13084.0,Public,In-State,Fees,Tuition
910,2015.0,Illinois,4-year,10707.0,Public,In-State,Room,Board
911,,,,,,,,
912,2015.0,Illinois,4-year,27672.0,Public,Out-of-State,Fees,Tuition
913,2015.0,Illinois,4-year,10707.0,Public,Out-of-State,,Board
914,2015.0,Indiana,4-year,29050.0,Private,,Fees,Tuition
915,2015.0,Indiana,4-year,10079.0,Private,,Room,Board
916,9999.0,Indiana,2-year,4055.0,Public,In-State,Fees,Tuition
917,2015.0,Indiana,4-year,8633.0,Public,In-State,,Tuition
918,2015.0,Indiana,4-year,9999999.0,Public,In-State,,Board
919,2015.0,Indiana,2-year,7932.0,Public,Out-of-State,,Tuition
920,2015.0,Indiana,4-year,28035.0,Public,Out-of-State,Fees,Tuition
921,2015.0,Indiana,4-year,9760.0,Public,Out-of-State,,Board
922,2015.0,Iowa,4-year,24076.0,Private,,Fees,Tuition
923,2015.0,Iowa,4-year,8534.0,Private,,Room,Board
924,2015.0,Iowa,2-year,4355.0,Public,In-State,Fees,Tuition
925,2015.0,Iowa,4-year,7858.0,Public,In-State,Fees,Tuition
926,2015.0,Iowa,4-year,9999999.0,Public,In-State,Room,Board
927,2015.0,Iowa,2-year,5548.0,Public,Out-of-State,Fees,Tuition
928,2015.0,Iowa,4-year,23778.0,Public,Out-of-State,Fees,Tuition
929,2015.0,Iowa,4-year,8851.0,Public,Out-of-State,Room,Board
930,2015.0,Kansas,4-year,16635.0,Private,,Fees,Tuition
931,2015.0,Kansas,4-year,8020.0,Private,,Room,Board
932,2015.0,Kansas,2-year,3015.0,Public,In-State,Fees,Tuition
933,2015.0,Kansas,4-year,7726.0,Public,In-State,Fees,Tuition
934,2015.0,Kansas,4-year,7858.0,Public,In-State,Room,Board
935,2015.0,Kansas,2-year,4197.0,Public,Out-of-State,,Tuition
936,2015.0,Kansas,4-year,20155.0,Public,Out-of-State,Fees,Tuition
937,2015.0,Kansas,4-year,7858.0,Public,Out-of-State,,Board
938,2015.0,Kentucky,4-year,23039.0,Private,,Fees,Tuition
939,2015.0,Kentucky,4-year,8555.0,Private,,Room,Board
940,2015.0,Kentucky,2-year,3650.0,Public,In-State,Fees,Tuition
941,2015.0,Kentucky,4-year,9189.0,Public,In-State,Fees,Tuition
942,2015.0,Kentucky,4-year,8341.0,Public,In-State,Room,Board
943,2015.0,Kentucky,2-year,12478.0,Public,Out-of-State,,Tuition
944,2015.0,Kentucky,4-year,21409.0,Public,Out-of-State,Fees,Tuition
945,2015.0,Kentucky,4-year,8341.0,Public,Out-of-State,Room,Board
946,2015.0,Louisiana,4-year,31175.0,Private,,Fees,Tuition
947,2015.0,Louisiana,4-year,11444.0,Private,,Room,Board
948,2015.0,Louisiana,2-year,3502.0,Public,In-State,,Tuition
949,2015.0,Louisiana,4-year,7296.0,Public,In-State,Fees,Tuition
950,2015.0,Louisiana,4-year,8749.0,Public,In-State,Room,Board
951,2015.0,Louisiana,2-year,6659.0,Public,Out-of-State,Fees,Tuition
952,2015.0,Louisiana,4-year,21409.0,Public,Out-of-State,Fees,Tuition
953,2015.0,Louisiana,4-year,8749.0,Public,Out-of-State,Room,Board
954,2015.0,Maine,4-year,33205.0,Private,,Fees,Tuition
955,2015.0,Maine,4-year,11786.0,Private,,Room,Board
956,2015.0,Maine,2-year,3663.0,Public,In-State,Fees,Tuition
957,2015.0,Maine,4-year,9166.0,Public,In-State,Fees,Tuition
958,2015.0,Maine,4-year,9748.0,Public,In-State,Room,Board
959,2015.0,Maine,2-year,6455.0,Public,Out-of-State,Fees,Tuition
960,9999.0,Maine,4-year,25273.0,Public,Out-of-State,Fees,Tuition
961,2015.0,Maine,4-year,9748.0,Public,Out-of-State,Room,Board
962,,,,,,,,
963,2015.0,Maryland,4-year,13246.0,Private,,Room,Board
964,2015.0,Maryland,2-year,3668.0,Public,In-State,Fees,Tuition
965,2015.0,Maryland,4-year,8482.0,Public,In-State,Fees,Tuition
966,2015.0,Maryland,4-year,10892.0,Public,In-State,Room,Board
967,2015.0,Maryland,2-year,8841.0,Public,Out-of-State,Fees,Tuition
968,2015.0,Maryland,4-year,21031.0,Public,Out-of-State,Fees,Tuition
969,,,,,,,,
970,2015.0,Massachusetts,4-year,39298.0,Private,,Fees,Tuition
971,2015.0,Massachusetts,4-year,13873.0,Private,,Room,Board
972,2015.0,Massachusetts,2-year,4333.0,Public,In-State,Fees,Tuition
973,2015.0,Massachusetts,4-year,10900.0,Public,In-State,Fees,Tuition
974,2015.0,Massachusetts,4-year,11314.0,Public,In-State,Room,Board
975,2015.0,Massachusetts,2-year,9742.0,Public,Out-of-State,Fees,Tuition
976,2015.0,Massachusetts,4-year,26213.0,Public,Out-of-State,Fees,Tuition
977,2015.0,Massachusetts,4-year,11314.0,Public,Out-of-State,Room,Board
978,2015.0,Michigan,4-year,20718.0,Private,,Fees,Tuition
979,2015.0,Michigan,4-year,8705.0,Private,,Room,Board
980,2015.0,Michigan,2-year,3062.0,Public,In-State,Fees,Tuition
981,2015.0,Michigan,4-year,11507.0,Public,In-State,Fees,Tuition
982,9999.0,Michigan,4-year,9336.0,Public,In-State,Room,Board
983,,,,,,,,
984,2015.0,Michigan,4-year,33666.0,Public,Out-of-State,Fees,Tuition
985,2015.0,Michigan,4-year,9336.0,Public,Out-of-State,Room,Board
986,2015.0,Minnesota,4-year,28123.0,Private,,Fees,Tuition
987,,,,,,,,
988,2015.0,Minnesota,2-year,5327.0,Public,In-State,Fees,Tuition
989,2015.0,Minnesota,4-year,10400.0,Public,In-State,Fees,Tuition
990,2015.0,Minnesota,4-year,8327.0,Public,In-State,Room,Board
991,2015.0,Minnesota,2-year,5960.0,Public,Out-of-State,Fees,Tuition
992,2015.0,Minnesota,4-year,17376.0,Public,Out-of-State,Fees,Tuition
993,2015.0,Minnesota,4-year,8327.0,Public,Out-of-State,Room,Board
994,,,,,,,,
995,2015.0,Mississippi,4-year,7201.0,Private,,Room,Board
996,2015.0,Mississippi,2-year,2518.0,Public,In-State,Fees,Tuition
997,2015.0,Mississippi,4-year,6880.0,Public,In-State,Fees,Tuition
998,2015.0,Mississippi,4-year,8830.0,Public,In-State,Room,Board
999,2015.0,Mississippi,2-year,4676.0,Public,Out-of-State,,Tuition
1000,2015.0,Mississippi,4-year,17262.0,Public,Out-of-State,Fees,Tuition
1001,2015.0,Mississippi,4-year,8830.0,Public,Out-of-State,,Board
1002,2015.0,Missouri,4-year,21465.0,Private,,Fees,Tuition
1003,2015.0,Missouri,4-year,8938.0,Private,,Room,Board
1004,,,,,,,,
1005,2015.0,Missouri,4-year,8065.0,Public,In-State,Fees,Tuition
1006,,,,,,,,
1007,2015.0,Missouri,2-year,5514.0,Public,Out-of-State,Fees,Tuition
1008,2015.0,Missouri,4-year,19410.0,Public,Out-of-State,Fees,Tuition
1009,2015.0,Missouri,4-year,9079.0,Public,Out-of-State,Room,Board
1010,2015.0,Montana,4-year,21630.0,Private,,Fees,Tuition
1011,2015.0,Montana,4-year,8006.0,Private,,Room,Board
1012,,,,,,,,
1013,2015.0,Montana,4-year,9999999.0,Public,In-State,,Tuition
1014,2015.0,Montana,4-year,8070.0,Public,In-State,Room,Board
1015,,,,,,,,
1016,2015.0,Montana,4-year,21481.0,Public,Out-of-State,Fees,Tuition
1017,2015.0,Montana,4-year,8070.0,Public,Out-of-State,Room,Board
1018,2015.0,Nebraska,4-year,20501.0,Private,,Fees,Tuition
1019,2015.0,Nebraska,4-year,8429.0,Private,,Room,Board
1020,2015.0,Nebraska,2-year,2743.0,Public,In-State,Fees,Tuition
1021,2015.0,Nebraska,4-year,7223.0,Public,In-State,Fees,Tuition
1022,2015.0,Nebraska,4-year,8976.0,Public,In-State,,Board
1023,2015.0,Nebraska,2-year,3743.0,Public,Out-of-State,Fees,Tuition
1024,2015.0,Nebraska,4-year,18180.0,Public,Out-of-State,Fees,Tuition
1025,2015.0,Nebraska,4-year,8976.0,Public,Out-of-State,Room,Board
1026,2015.0,Nevada,4-year,17325.0,Private,,Fees,Tuition
1027,2015.0,Nevada,4-year,13488.0,Private,,Room,Board
1028,2015.0,Nevada,2-year,2700.0,Public,In-State,Fees,Tuition
1029,2015.0,Nevada,4-year,5016.0,Public,In-State,Fees,Tuition
1030,2015.0,Nevada,4-year,10122.0,Public,In-State,Room,Board
1031,,,,,,,,
1032,2015.0,Nevada,4-year,20064.0,Public,Out-of-State,Fees,Tuition
1033,2015.0,Nevada,4-year,10122.0,Public,Out-of-State,Room,Board
1034,2015.0,New Hampshire,4-year,31868.0,Private,,Fees,Tuition
1035,2015.0,New Hampshire,4-year,13128.0,Private,,Room,Board
1036,,,,,,,,
1037,,,,,,,,
1038,2015.0,New Hampshire,4-year,11283.0,Public,In-State,Room,Board
1039,9999.0,New Hampshire,2-year,15202.0,Public,Out-of-State,Fees,Tuition
1040,2015.0,New Hampshire,4-year,26131.0,Public,Out-of-State,Fees,Tuition
1041,9999.0,New Hampshire,4-year,11283.0,Public,Out-of-State,Room,Board
1042,2015.0,New Jersey,4-year,32986.0,Private,,Fees,Tuition
1043,2015.0,New Jersey,4-year,12448.0,Private,,Room,Board
1044,2015.0,New Jersey,2-year,3982.0,Public,In-State,Fees,Tuition
1045,2015.0,New Jersey,4-year,12541.0,Public,In-State,Fees,Tuition
1046,2015.0,New Jersey,4-year,12283.0,Public,In-State,Room,Board
1047,,,,,,,,
1048,2015.0,New Jersey,4-year,9999999.0,Public,Out-of-State,Fees,Tuition
1049,,,,,,,,
1050,2015.0,New Mexico,4-year,18779.0,Private,,Fees,Tuition
1051,2015.0,New Mexico,4-year,9999999.0,Private,,Room,Board
1052,2015.0,New Mexico,2-year,1475.0,Public,In-State,,Tuition
1053,2015.0,New Mexico,4-year,6003.0,Public,In-State,Fees,Tuition
1054,2015.0,New Mexico,4-year,8775.0,Public,In-State,Room,Board
1055,2015.0,New Mexico,2-year,4636.0,Public,Out-of-State,Fees,Tuition
1056,2015.0,New Mexico,4-year,15285.0,Public,Out-of-State,Fees,Tuition
1057,2015.0,New Mexico,4-year,8775.0,Public,Out-of-State,Room,Board
1058,,,,,,,,
1059,2015.0,New York,4-year,13749.0,Private,,Room,Board
1060,2015.0,New York,2-year,4711.0,Public,In-State,Fees,Tuition
1061,2015.0,New York,4-year,7272.0,Public,In-State,Fees,Tuition
1062,2015.0,New York,4-year,13277.0,Public,In-State,Room,Board
1063,2015.0,New York,2-year,8344.0,Public,Out-of-State,Fees,Tuition
1064,2015.0,New York,4-year,18825.0,Public,Out-of-State,Fees,Tuition
1065,2015.0,New York,4-year,13277.0,Public,Out-of-State,Room,Board
1066,2015.0,North Carolina,4-year,28177.0,Private,,Fees,Tuition
1067,2015.0,North Carolina,4-year,10741.0,Private,,Room,Board
1068,2015.0,North Carolina,2-year,2355.0,Public,In-State,Fees,Tuition
1069,2015.0,North Carolina,4-year,6658.0,Public,In-State,Fees,Tuition
1070,2015.0,North Carolina,4-year,9113.0,Public,In-State,,Board
1071,2015.0,North Carolina,2-year,8269.0,Public,Out-of-State,Fees,Tuition
1072,2015.0,North Carolina,4-year,22676.0,Public,Out-of-State,Fees,Tuition
1073,2015.0,North Carolina,4-year,9113.0,Public,Out-of-State,Room,Board
1074,2015.0,North Dakota,4-year,13255.0,Private,,Fees,Tuition
1075,2015.0,North Dakota,4-year,6248.0,Private,,Room,Board
1076,,,,,,,,
1077,2015.0,North Dakota,4-year,7050.0,Public,In-State,Fees,Tuition
1078,2015.0,North Dakota,4-year,7167.0,Public,In-State,,Board
1079,2015.0,North Dakota,2-year,8441.0,Public,Out-of-State,Fees,Tuition
1080,2015.0,North Dakota,4-year,17316.0,Public,Out-of-State,Fees,Tuition
1081,2015.0,North Dakota,4-year,7167.0,Public,Out-of-State,Room,Board
1082,2015.0,Ohio,4-year,27761.0,Private,,Fees,Tuition
1083,2015.0,Ohio,4-year,10215.0,Private,,Room,Board
1084,2015.0,Ohio,2-year,3610.0,Public,In-State,Fees,Tuition
1085,2015.0,Ohio,4-year,9631.0,Public,In-State,,Tuition
1086,2015.0,Ohio,4-year,10906.0,Public,In-State,,Board
1087,2015.0,Ohio,2-year,7512.0,Public,Out-of-State,Fees,Tuition
1088,2015.0,Ohio,4-year,22756.0,Public,Out-of-State,Fees,Tuition
1089,2015.0,Ohio,4-year,10906.0,Public,Out-of-State,Room,Board
1090,2015.0,Oklahoma,4-year,22309.0,Private,,Fees,Tuition
1091,2015.0,Oklahoma,4-year,8784.0,Private,,Room,Board
1092,2015.0,Oklahoma,2-year,3244.0,Public,In-State,Fees,Tuition
1093,2015.0,Oklahoma,4-year,6345.0,Public,In-State,Fees,Tuition
1094,2015.0,Oklahoma,4-year,7802.0,Public,In-State,Room,Board
1095,2015.0,Oklahoma,2-year,7940.0,Public,Out-of-State,Fees,Tuition
1096,2015.0,Oklahoma,4-year,17633.0,Public,Out-of-State,Fees,Tuition
1097,2015.0,Oklahoma,4-year,7802.0,Public,Out-of-State,Room,Board
1098,2015.0,Oregon,4-year,33108.0,Private,,Fees,Tuition
1099,2015.0,Oregon,4-year,11107.0,Private,,Room,Board
1100,2015.0,Oregon,2-year,4023.0,Public,In-State,Fees,Tuition
1101,2015.0,Oregon,4-year,8891.0,Public,In-State,Fees,Tuition
1102,2015.0,Oregon,4-year,10763.0,Public,In-State,Room,Board
1103,,,,,,,,
1104,2015.0,Oregon,4-year,27341.0,Public,Out-of-State,Fees,Tuition
1105,2015.0,Oregon,4-year,10763.0,Public,Out-of-State,Room,Board
1106,2015.0,Pennsylvania,4-year,35622.0,Private,,,Tuition
1107,2015.0,Pennsylvania,4-year,12271.0,Private,,Room,Board
1108,2015.0,Pennsylvania,2-year,4589.0,Public,In-State,Fees,Tuition
1109,2015.0,Pennsylvania,4-year,13171.0,Public,In-State,Fees,Tuition
1110,2015.0,Pennsylvania,4-year,9999999.0,Public,In-State,Room,Board
1111,2015.0,Pennsylvania,2-year,11732.0,Public,Out-of-State,Fees,Tuition
1112,2015.0,Pennsylvania,4-year,24741.0,Public,Out-of-State,Fees,Tuition
1113,2015.0,Pennsylvania,4-year,10348.0,Public,Out-of-State,Room,Board
1114,2015.0,Rhode Island,4-year,36205.0,Private,,Fees,Tuition
1115,2015.0,Rhode Island,4-year,12665.0,Private,,Room,Board
1116,2015.0,Rhode Island,2-year,3950.0,Public,In-State,Fees,Tuition
1117,2015.0,Rhode Island,4-year,10868.0,Public,In-State,Fees,Tuition
1118,2015.0,Rhode Island,4-year,11162.0,Public,In-State,Room,Board
1119,2015.0,Rhode Island,2-year,10582.0,Public,Out-of-State,,Tuition
1120,2015.0,Rhode Island,4-year,27110.0,Public,Out-of-State,Fees,Tuition
1121,2015.0,Rhode Island,4-year,11162.0,Public,Out-of-State,Room,Board
1122,2015.0,SC,4-year,22241.0,Private,,Fees,Tuition
1123,2015.0,SC,4-year,8716.0,Private,,Room,Board
1124,2015.0,SC,2-year,4061.0,Public,In-State,Fees,Tuition
1125,2015.0,SC,4-year,11448.0,Public,In-State,Fees,Tuition
1126,2015.0,SC,4-year,8906.0,Public,In-State,Room,Board
1127,2015.0,SC,2-year,8537.0,Public,Out-of-State,Fees,Tuition
1128,2015.0,SC,4-year,27814.0,Public,Out-of-State,Fees,Tuition
1129,2015.0,SC,4-year,8906.0,Public,Out-of-State,,Board
1130,2015.0,South Dakota,4-year,21018.0,Private,,Fees,Tuition
1131,2015.0,South Dakota,4-year,7514.0,Private,,Room,Board
1132,2015.0,South Dakota,2-year,5014.0,Public,In-State,Fees,Tuition
1133,2015.0,South Dakota,4-year,7744.0,Public,In-State,Fees,Tuition
1134,2015.0,South Dakota,4-year,7239.0,Public,In-State,Room,Board
1135,2015.0,South Dakota,2-year,4886.0,Public,Out-of-State,Fees,Tuition
1136,2015.0,South Dakota,4-year,10923.0,Public,Out-of-State,Fees,Tuition
1137,,,,,,,,
1138,2015.0,Tennessee,4-year,23893.0,Private,,Fees,Tuition
1139,2015.0,Tennessee,4-year,9290.0,Private,,Room,Board
1140,2015.0,Tennessee,2-year,3820.0,Public,In-State,Fees,Tuition
1141,2015.0,Tennessee,4-year,8495.0,Public,In-State,Fees,Tuition
1142,2015.0,Tennessee,4-year,8651.0,Public,In-State,,Board
1143,2015.0,Tennessee,2-year,14859.0,Public,Out-of-State,Fees,Tuition
1144,2015.0,Tennessee,4-year,23949.0,Public,Out-of-State,Fees,Tuition
1145,2015.0,Tennessee,4-year,8651.0,Public,Out-of-State,Room,Board
1146,2015.0,Texas,4-year,27552.0,Private,,Fees,Tuition
1147,2015.0,Texas,4-year,9999999.0,Private,,Room,Board
1148,2015.0,Texas,2-year,1948.0,Public,In-State,Fees,Tuition
1149,2015.0,Texas,4-year,7870.0,Public,In-State,Fees,Tuition
1150,2015.0,Texas,4-year,9002.0,Public,In-State,Room,Board
1151,2015.0,Texas,2-year,5398.0,Public,Out-of-State,,Tuition
1152,2015.0,Texas,4-year,21135.0,Public,Out-of-State,,Tuition
1153,2015.0,Texas,4-year,9002.0,Public,Out-of-State,Room,Board
1154,2015.0,UT,4-year,7747.0,Private,,Fees,Tuition
1155,2015.0,UT,4-year,7688.0,Private,,Room,Board
1156,2015.0,UT,2-year,3469.0,Public,In-State,Fees,Tuition
1157,2015.0,UT,4-year,5942.0,Public,In-State,Fees,Tuition
1158,2015.0,UT,4-year,7028.0,Public,In-State,Room,Board
1159,2015.0,UT,2-year,11011.0,Public,Out-of-State,Fees,Tuition
1160,2015.0,UT,4-year,17899.0,Public,Out-of-State,Fees,Tuition
1161,2015.0,UT,4-year,7028.0,Public,Out-of-State,,Board
1162,2015.0,VT,4-year,37391.0,Private,,,Tuition
1163,2015.0,VT,4-year,11820.0,Private,,Room,Board
1164,2015.0,VT,2-year,5886.0,Public,In-State,Fees,Tuition
1165,2015.0,VT,4-year,14495.0,Public,In-State,Fees,Tuition
1166,2015.0,VT,4-year,10492.0,Public,In-State,Room,Board
1167,2015.0,VT,2-year,11622.0,Public,Out-of-State,Fees,Tuition
1168,2015.0,VT,4-year,35241.0,Public,Out-of-State,Fees,Tuition
1169,,,,,,,,
1170,2015.0,Virginia,4-year,22835.0,Private,,Fees,Tuition
1171,2015.0,Virginia,4-year,9666.0,Private,,Room,Board
1172,2015.0,Virginia,2-year,4318.0,Public,In-State,Fees,Tuition
1173,2015.0,Virginia,4-year,11057.0,Public,In-State,Fees,Tuition
1174,9999.0,Virginia,4-year,9884.0,Public,In-State,Room,Board
1175,2015.0,Virginia,2-year,9019.0,Public,Out-of-State,Fees,Tuition
1176,2015.0,Virginia,4-year,30416.0,Public,Out-of-State,Fees,Tuition
1177,2015.0,Virginia,4-year,9884.0,Public,Out-of-State,Room,Board
1178,,,,,,,,
1179,2015.0,WA,4-year,10322.0,Private,,Room,Board
1180,2015.0,WA,2-year,3992.0,Public,In-State,Fees,Tuition
1181,2015.0,WA,4-year,8299.0,Public,In-State,Fees,Tuition
1182,2015.0,WA,4-year,10564.0,Public,In-State,Room,Board
1183,2015.0,WA,2-year,6887.0,Public,Out-of-State,Fees,Tuition
1184,2015.0,WA,4-year,28539.0,Public,Out-of-State,Fees,Tuition
1185,2015.0,WA,4-year,10564.0,Public,Out-of-State,Room,Board
1186,2015.0,West Virginia,4-year,11055.0,Private,,Fees,Tuition
1187,2015.0,West Virginia,4-year,8626.0,Private,,Room,Board
1188,2015.0,West Virginia,2-year,3628.0,Public,In-State,,Tuition
1189,2015.0,West Virginia,4-year,9999999.0,Public,In-State,Fees,Tuition
1190,2015.0,West Virginia,4-year,9223.0,Public,In-State,Room,Board
1191,2015.0,West Virginia,2-year,8215.0,Public,Out-of-State,Fees,Tuition
1192,2015.0,West Virginia,4-year,17882.0,Public,Out-of-State,Fees,Tuition
1193,9999.0,West Virginia,4-year,9223.0,Public,Out-of-State,Room,Board
1194,2015.0,Wisconsin,4-year,28094.0,Private,,Fees,Tuition
1195,2015.0,Wisconsin,4-year,9322.0,Private,,Room,Board
1196,,,,,,,,
1197,2015.0,Wisconsin,4-year,8441.0,Public,In-State,Fees,Tuition
1198,2015.0,Wisconsin,4-year,7496.0,Public,In-State,Room,Board
1199,2015.0,Wisconsin,2-year,7220.0,Public,Out-of-State,,Tuition
1200,2015.0,Wisconsin,4-year,20020.0,Public,Out-of-State,Fees,Tuition
1201,2015.0,Wisconsin,4-year,7496.0,Public,Out-of-State,Room,Board
1202,2015.0,Wyoming,4-year,16968.0,Private,,Fees,Tuition
1203,2015.0,Wyoming,2-year,2694.0,Public,In-State,Fees,Tuition
1204,2015.0,Wyoming,4-year,3968.0,Public,In-State,,Tuition
1205,,,,,,,,
1206,2015.0,Wyoming,2-year,6658.0,Public,Out-of-State,Fees,Tuition
1207,2015.0,Wyoming,4-year,12152.0,Public,Out-of-State,Fees,Tuition
1208,2015.0,Wyoming,4-year,9489.0,Public,Out-of-State,Room,Board
1209,2016.0,Alabama,4-year,15359.0,Private,,Fees,Tuition
1210,2016.0,Alabama,4-year,9999999.0,Private,,Room,Board
1211,2016.0,Alabama,2-year,4289.0,Public,In-State,Fees,Tuition
1212,2016.0,Alabama,4-year,9179.0,Public,In-State,Fees,Tuition
1213,2016.0,Alabama,4-year,9330.0,Public,In-State,Room,Board
1214,,,,,,,,
1215,2016.0,Alabama,4-year,23261.0,Public,Out-of-State,Fees,Tuition
1216,2016.0,Alabama,4-year,9330.0,Public,Out-of-State,Room,Board
1217,2016.0,Alaska,4-year,19957.0,Private,,Fees,Tuition
1218,2016.0,Alaska,4-year,6431.0,Private,,Room,Board
1219,2016.0,Alaska,2-year,3340.0,Public,In-State,Fees,Tuition
1220,2016.0,Alaska,4-year,6880.0,Public,In-State,Fees,Tuition
1221,2016.0,Alaska,4-year,9820.0,Public,In-State,Room,Board
1222,2016.0,Alaska,2-year,3340.0,Public,Out-of-State,Fees,Tuition
1223,2016.0,Alaska,4-year,20463.0,Public,Out-of-State,Fees,Tuition
1224,2016.0,Alaska,4-year,9820.0,Public,Out-of-State,Room,Board
1225,2016.0,Arizona,4-year,12667.0,Private,,Fees,Tuition
1226,9999.0,Arizona,4-year,9577.0,Private,,Room,Board
1227,2016.0,Arizona,2-year,2061.0,Public,In-State,Fees,Tuition
1228,2016.0,Arizona,4-year,9884.0,Public,In-State,Fees,Tuition
1229,2016.0,Arizona,4-year,10737.0,Public,In-State,Room,Board
1230,2016.0,Arizona,2-year,9999999.0,Public,Out-of-State,,Tuition
1231,2016.0,Arizona,4-year,24161.0,Public,Out-of-State,Fees,Tuition
1232,2016.0,Arizona,4-year,10737.0,Public,Out-of-State,Room,Board
1233,2016.0,AR,4-year,20936.0,Private,,Fees,Tuition
1234,2016.0,AR,4-year,7891.0,Private,,Room,Board
1235,2016.0,AR,2-year,3105.0,Public,In-State,Fees,Tuition
1236,2016.0,AR,4-year,7577.0,Public,In-State,Fees,Tuition
1237,2016.0,AR,4-year,8399.0,Public,In-State,Room,Board
1238,2016.0,AR,2-year,4638.0,Public,Out-of-State,,Tuition
1239,2016.0,AR,4-year,18306.0,Public,Out-of-State,Fees,Tuition
1240,,,,,,,,
1241,9999.0,California,4-year,29519.0,Private,,Fees,Tuition
1242,2016.0,California,4-year,11663.0,Private,,Room,Board
1243,2016.0,California,2-year,1246.0,Public,In-State,Fees,Tuition
1244,2016.0,California,4-year,9070.0,Public,In-State,Fees,Tuition
1245,2016.0,California,4-year,13081.0,Public,In-State,Room,Board
1246,2016.0,California,2-year,6968.0,Public,Out-of-State,Fees,Tuition
1247,,,,,,,,
1248,2016.0,California,4-year,13081.0,Public,Out-of-State,Room,Board
1249,2016.0,Colorado,4-year,22332.0,Private,,Fees,Tuition
1250,2016.0,Colorado,4-year,11319.0,Private,,Room,Board
1251,2016.0,Colorado,2-year,3630.0,Public,In-State,Fees,Tuition
1252,2016.0,Colorado,4-year,9128.0,Public,In-State,Fees,Tuition
1253,,,,,,,,
1254,2016.0,Colorado,2-year,8915.0,Public,Out-of-State,Fees,Tuition
1255,2016.0,Colorado,4-year,27986.0,Public,Out-of-State,Fees,Tuition
1256,2016.0,Colorado,4-year,11466.0,Public,Out-of-State,Room,Board
1257,2016.0,Connecticut,4-year,37679.0,Private,,Fees,Tuition
1258,2016.0,Connecticut,4-year,13891.0,Private,,Room,Board
1259,9999.0,Connecticut,2-year,4039.0,Public,In-State,Fees,Tuition
1260,2016.0,Connecticut,4-year,11106.0,Public,In-State,Fees,Tuition
1261,2016.0,Connecticut,4-year,12245.0,Public,In-State,Room,Board
1262,2016.0,Connecticut,2-year,12100.0,Public,Out-of-State,Fees,Tuition
1263,,,,,,,,
1264,2016.0,Connecticut,4-year,12245.0,Public,Out-of-State,Room,Board
1265,2016.0,Delaware,4-year,14200.0,Private,,Fees,Tuition
